epoch,train_loss,val_loss
0.0,0.0392027487978339,125.13425184892004
1.0,0.0410544769838452,108.15812372401832
2.0,0.0336254416033625,102.18703847131653
3.0,0.0261369633954018,83.80069471618643
4.0,0.0321591272950172,86.49502586966213
5.0,0.0296165274921804,88.81792540965158
6.0,0.039767020381987,86.67041221966917
7.0,0.0528889428824186,83.23670629852771
8.0,0.0434283232316374,76.69778824961548
9.0,0.0326547874137759,78.17538878714873
10.0,0.0401938688009977,77.06387072373998
11.0,0.0432100603356957,78.03560454123127
12.0,0.0459713847376406,70.41691823177544
13.0,0.0391561230644583,81.17064974604415
14.0,0.0321361850947141,71.4023943933332
15.0,0.0340540646575391,73.55695295909152
16.0,0.0418694447726011,77.75903681403071
17.0,0.0373311871662735,77.14062272971728
18.0,0.0424416186287999,75.78187537527637
19.0,0.0394434784539043,75.60030940171515
20.0,0.0359331113286316,76.98268178974129
21.0,0.0501254457049071,75.7918123832626
22.0,0.0384535533376038,72.97999684662395
23.0,0.044846661388874,76.56373145714338
24.0,0.0469940928742289,70.82872235837465
